Filename,Title,Keywords,Category,Releases
minimalist-table-setting-with-candle-and-napkin-for-elegant-dining.jpg,minimalist-table-setting-with-candle-and-napkin-for-elegant-dining.,"table, setting, minimalist, candle, napkin, elegant, dining, simplicity, decor, home, interior, design, still, life, object, food, meal, dinner, party, celebration, gathering, event, occasion, festive, warmth, light, shadow, contrast, color, brown, white, dark, texture, surface, background, studio, shot, composition, arrangement, clean, modern, style, tasteful, sophisticated, refined, calm, serene, peaceful, atmosphere",,
elegant-table-setting-with-napkin-ring-and-candle-holder.jpg,elegant-table-setting-with-napkin-ring-and-candle-holder.,"table, setting, napkin, ring, candle, holder, plate, wooden, cloth, white, elegant, decor, dining, meal, dinner, party, celebration, event, home, interior, design, style, modern, minimalist, rustic, warm, lighting, shadow, surface, brown, texture, detail, still, life, composition, focus, background, object, accessory, serveware, linen, ornament, arrangement, gourmet, cuisine, restaurant, hospitality, gather, festive",,
minimalist-ceramic-candle-holder-with-a-single-dark-candle-on-a-wooden-table.jpg,minimalist-ceramic-candle-holder-with-a-single-dark-candle-on-a-wooden-table.,"candle, holder, ceramic, minimalist, table, wooden, dark, tall, unique, single, atmosphere, cozy, warm, decor, object, still, life, design, home, interior, lighting, element, composition, background, brown, texture, surface, simple, modern, elegant, rustic, craft, handicraft, artisan, studio, shot, focus, detail, shadow, light, warmth, comfort, peaceful, serene, calm, tranquil, evening, night, romance",,
sweet-treats-on-wooden-trays-with-textured-background.jpg,sweet-treats-on-wooden-trays-with-textured-background.,"sweet, treats, wooden, trays, textured, background, dessert, food, snack, confectionery, pastry, cake, cupcake, cookie, biscuit, stack, round, paper, liner, cup, display, serving, dish, platter, holder, natural, material, wood, grain, pattern, organic, shape, leaf, cutout, table, surface, brown, earthy, tone, color, warm, lighting, shadow, soft, focus, macro, detail, gourmet, bakery",,
two-sage-green-ceramic-mugs-on-wooden-coasters-on-a-terracotta-surface.jpg,two-sage-green-ceramic-mugs-on-wooden-coasters-on-a-terracotta-surface.,"mug, cup, drink, beverage, coffee, tea, ceramic, green, sage, coaster, wood, wooden, surface, table, background, warm, cozy, inviting, still, life, object, kitchen, home, decor, minimalist, modern, simple, clean, design, style, aesthetic, composition, arrangement, display, studio, shot, indoor, domestic, comfort, relaxation, morning, afternoon, evening, refreshment, hydration, container, handle, round, smooth",,
cozy-morning-coffee-mug-on-wooden-coaster-with-warm-lighting.jpg,cozy-morning-coffee-mug-on-wooden-coaster-with-warm-lighting.,"mug, coffee, cup, drink, beverage, ceramic, kitchen, table, coaster, wood, marble, pattern, speckled, white, brown, warm, lighting, shadow, still, life, home, decor, interior, design, minimalist, modern, rustic, natural, material, texture, surface, object, container, handle, breakfast, morning, refreshment, leisure, relaxation, comfort, cozy, hygge, simple, clean, studio, shot, focus, foreground, background",,
minimalist-wooden-candlestick-holder-with-tall-candle-on-brown-background.jpg,minimalist-wooden-candlestick-holder-with-tall-candle-on-brown-background.,"candle, holder, wood, minimalist, design, object, decor, home, interior, light, warmth, evening, shadow, table, brown, background, simple, modern, rustic, craft, handmade, artisan, sculpture, decorative, still, life, composition, studio, shot, isolated, single, element, focus, detail, texture, grain, natural, material, shape, form, vertical, tall, slender, dark, wax, flame, burning, atmosphere, mood",,
gourmet-chocolate-squares-arranged-on-a-wooden-tray-with-cups.jpg,gourmet-chocolate-squares-arranged-on-a-wooden-tray-with-cups.,"chocolate, gourmet, sweets, dessert, food, confectionery, treat, snack, cuisine, delicious, tasty, sugar, cocoa, pastry, bakery, sweetness, indulgence, rich, dark, milk, white, bean, bar, praline, bonbon, truffle, ganache, caramel, nut, fruit, liqueur, spice, vanilla, mint, coffee, alcohol, Squares, Arranged, Wooden, Tray, with, Cups, Artfully, two, green, textured, surface, creating, elegant",,
desk-with-molecular-model-and-pencils-in-a-cup.jpg,desk-with-molecular-model-and-pencils-in-a-cup.,"desk, molecular, model, pencils, cup, notebook, science, education, study, learning, chemistry, biology, atom, structure, molecule, research, innovation, discovery, knowledge, creativity, office, workspace, table, surface, object, item, supply, stationery, writing, drawing, art, design, concept, idea, abstract, geometric, pattern, composition, arrangement, detail, close-up, focus, background, brown, wood, paper, tool, equipment, technology",,
wooden-puzzle-pieces-and-craft-supplies-on-a-brown-surface.jpg,wooden-puzzle-pieces-and-craft-supplies-on-a-brown-surface.,"wood, puzzle, craft, piece, wooden, toy, game, hobby, creativity, design, construction, building, assembly, childhood, education, learning, development, skill, strategy, challenge, leisure, activity, play, fun, indoor, home, table, surface, background, brown, neutral, color, texture, material, natural, organic, simple, minimalist, clean, modern, art, handmade, DIY, project, idea, concept, focus, close-up, detail",,
elegant-wooden-candlestick-with-tall-candle-on-earth-toned-surface.jpg,elegant-wooden-candlestick-with-tall-candle-on-earth-toned-surface.,"candle, candlestick, holder, light, flame, wax, burn, tall, slender, wooden, wood, carved, ornate, decorative, object, item, home, decor, interior, design, style, elegant, sophisticated, minimalist, simple, clean, earth, toned, brown, surface, table, background, solid, warm, color, hue, shade, texture, pattern, still, life, composition, studio, shot, photography, focus, sharp, detail, craft",,
